Time,UUID,RSSI
20220321 05:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-91
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-58
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68
20220321 05:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-52
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-55
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79
20220321 05:32:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-86
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-54
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 05:32:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-82
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-49
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75
20220321 05:33:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76
20220321 05:33:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-52
20220321 05:33:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-55
20220321 05:33:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58
20220321 05:33:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
