Time,UUID,RSSI
20220321 06:20:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58
20220321 06:20:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 06:20:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66
20220321 06:20:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:20:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82
20220321 06:20:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58
20220321 06:20:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 06:20:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66
20220321 06:20:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 06:20:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82
20220321 06:20:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 06:20:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82
20220321 06:20:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82
20220321 06:20:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80
20220321 06:20:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80
20220321 06:21:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79
20220321 06:21:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-81
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79
20220321 06:21:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-81
